start,end,value
1548007578846,1548007578846,110
1548007582675,1548007582675,118
1548007583638,1548007583638,119
1548007584608,1548007584608,120
1548007586501,1548007586501,121
1548007587463,1548007587463,119
1548007588433,1548007588433,119
1548007589379,1548007589379,119
1548007590329,1548007590329,121
1548007592263,1548007592263,122
1548007593202,1548007593202,122
1548007594160,1548007594160,122
1548007595118,1548007595118,122
1548007596087,1548007596087,120
1548007597991,1548007597991,120
1548007598953,1548007598953,120
1548007599918,1548007599918,117
1548007600861,1548007600861,116
1548007601857,1548007601857,115
1548007606586,1548007606586,115
1548007606595,1548007606595,115
1548007606604,1548007606604,118
1548007606616,1548007606616,121
1548007607654,1548007607654,121
1548007613017,1548007613017,120
1548007613032,1548007613032,120
1548007613041,1548007613041,121
1548007613049,1548007613049,120
1548007613420,1548007613420,120
1548007619817,1548007619817,120
1548007619827,1548007619827,119
1548007619839,1548007619839,115
1548007619848,1548007619848,115
1548007619856,1548007619856,114
1548007621044,1548007621044,111
1548007622079,1548007622079,108
1548007622908,1548007622908,106
1548007623932,1548007623932,104
1548007624812,1548007624812,102
1548007626821,1548007626821,100
1548007627691,1548007627691,99
1548007628673,1548007628673,97
1548007629699,1548007629699,96
1548007630563,1548007630563,94
1548007632593,1548007632593,93
1548007633438,1548007633438,92
1548007634438,1548007634438,90
1548007635466,1548007635466,89
1548007636315,1548007636315,85
1548007638359,1548007638359,83
1548007639188,1548007639188,81
1548007640207,1548007640207,79
1548007641097,1548007641097,78
1548007642062,1548007642062,76
1548007643968,1548007643968,66
1548007644949,1548007644949,64
1548007645980,1548007645980,62
1548007646846,1548007646846,61
1548007647836,1548007647836,59
1548007649734,1548007649734,58
1548007650674,1548007650674,58
1548007651644,1548007651644,58
1548007652582,1548007652582,57
1548007653534,1548007653534,57
1548007655466,1548007655466,56
1548007656406,1548007656406,56
1548007657357,1548007657357,55
1548007658317,1548007658317,55
1548007659293,1548007659293,54
1548007661185,1548007661185,54
1548007662146,1548007662146,54
1548007663176,1548007663176,54
1548007664131,1548007664131,54
1548007665162,1548007665162,54
1548007670583,1548007670583,55
1548007670591,1548007670591,55
1548007670598,1548007670598,55
1548007670606,1548007670606,55
1548007670770,1548007670770,55
1548007676961,1548007676961,56
1548007676988,1548007676988,56
1548007677019,1548007677019,56
1548007677041,1548007677041,56
1548007677099,1548007677099,56
1548007678434,1548007678434,56
1548007679447,1548007679447,56
1548007680356,1548007680356,57
1548007681346,1548007681346,58
1548007682380,1548007682380,59
1548007684236,1548007684236,59
1548007685267,1548007685267,59
1548007686109,1548007686109,60
1548007687119,1548007687119,61
1548007688153,1548007688153,62
1548007690027,1548007690027,62
1548007690887,1548007690887,62
1548007691853,1548007691853,62
1548007692803,1548007692803,63
1548007693758,1548007693758,63
1548007695686,1548007695686,63
1548007696630,1548007696630,63
1548007697583,1548007697583,63
1548007698541,1548007698541,63
1548007699511,1548007699511,63
1548007701405,1548007701405,63
1548007702365,1548007702365,62
1548007703339,1548007703339,61
1548007704277,1548007704277,60
1548007705231,1548007705231,60
1548007707164,1548007707164,60
1548007708102,1548007708102,60
1548007709056,1548007709056,60
1548007710016,1548007710016,59
1548007710995,1548007710995,59
1548007712888,1548007712888,58
1548007713847,1548007713847,58
1548007714819,1548007714819,58
1548007715760,1548007715760,58
1548007716713,1548007716713,59
1548007718644,1548007718644,59
1548007719583,1548007719583,59
1548007720547,1548007720547,58
1548007721548,1548007721548,58
1548007722576,1548007722576,58
1548007726871,1548007726871,58
1548007726884,1548007726884,58
1548007726895,1548007726895,58
1548007727309,1548007727309,58
1548007728341,1548007728341,58
1548007732655,1548007732655,58
1548007732677,1548007732677,58
1548007732695,1548007732695,56
1548007733078,1548007733078,55
1548007733952,1548007733952,55
1548007739352,1548007739352,55
1548007739359,1548007739359,57
1548007739366,1548007739366,57
1548007739378,1548007739378,57
1548007739692,1548007739692,57
1548007741747,1548007741747,57
1548007742577,1548007742577,57
1548007743585,1548007743585,57
1548007744618,1548007744618,56
1548007745449,1548007745449,56
1548007747365,1548007747365,57
1548007748329,1548007748329,57
1548007749353,1548007749353,57
1548007750235,1548007750235,57
1548007751211,1548007751211,57
1548007753111,1548007753111,57
1548007754092,1548007754092,57
1548007755119,1548007755119,56
1548007755966,1548007755966,56
1548007756977,1548007756977,56
1548007758848,1548007758848,56
1548007759865,1548007759865,55
1548007760894,1548007760894,55
1548007761719,1548007761719,56
1548007762749,1548007762749,56
1548007764605,1548007764605,56
1548007765636,1548007765636,56
1548007766502,1548007766502,56
1548007767486,1548007767486,56
1548007768518,1548007768518,55
1548007770378,1548007770378,55
1548007771401,1548007771401,55
1548007772248,1548007772248,55
1548007773252,1548007773252,55
1548007774287,1548007774287,55
1548007779690,1548007779690,55
1548007779706,1548007779706,55
1548007779731,1548007779731,58
1548007779754,1548007779754,60
1548007779891,1548007779891,60
1548007786270,1548007786270,61
1548007786280,1548007786280,61
1548007786287,1548007786287,60
1548007786296,1548007786296,60
1548007786305,1548007786305,60
